,time,bnds,lon,lat,time_bnds,Net shortwave radiation flux (W m-2),Net longwave radiation flux (W m-2),Latent heat net flux (W m-2),Sensible heat net flux (W m-2),Ground heat flux (W m-2),Evapotranspiration (kg m-2 s-1),Storm surface runoff (kg m-2 s-1),Baseflow-groundwater runoff (kg m-2 s-1),Snow melt (kg m-2 s-1),Snow surface temperature (K),Average surface skin temperature (K),Snow depth water equivalent (kg m-2),Snow depth (m),Surface soil moisture (kg m-2),Root zone soil moisture (kg m-2),Profile soil moisture (kg m-2),Canopy water evaporation (kg m-2 s-1),Transpiration (kg m-2 s-1),Direct evaporation from bare soil (kg m-2 s-1),Plant canopy surface water (kg m-2),Snow evaporation (kg m-2 s-1),Aerodynamic conductance (m s-1),Terrestrial water storage (mm),Ground water storage (mm),Snow precipitation rate (kg m-2 s-1),Rain precipitation rate (kg m-2 s-1),Wind speed (m s-1),Total precipitation rate (kg m-2 s-1),Air temperature (K),Specific humidity (kg kg-1),Surface air pressure (Pa),Downward shortwave radiation flux (W m-2),Downward longwave radiation flux (W m-2),Month,Temp_Avg,Wind_Avg,Pressure_Avg,Precipitation,DayOfYear,Year,Week
0,1964-05-01,0,-122.625,38.375,1964-05-01,266.48699951171875,-88.95643615722656,47.96710968017578,119.55390167236328,9.994339942932129,1.944744144566357e-05,0.0,0.0,0.0,286.7988586425781,286.7988586425781,0.0,0.0,5.459745407104492,266.8186340332031,1128.073974609375,-2.212117600208785e-09,1.0348550858907402e-05,9.101099749386776e-06,0.0003397710097488016,0.0,0.22061850130558014,1128.07421875,861.2552490234375,0.0,0.0,3.6728062629699707,0.0,286.4770202636719,0.008151430636644363,97819.5,297.08184814453125,291.0812683105469,0,0.0,0.0,0.0,0.0,122,1964,18
1,1964-05-02,0,-122.625,38.375,1964-05-02,205.49913024902344,-75.24105834960938,50.30680847167969,107.1149673461914,-27.139320373535156,2.039603168668691e-05,1.0029584700532723e-06,0.0,0.0,281.3766784667969,281.3766784667969,0.0,0.0,5.523064136505127,266.7591857910156,1126.902587890625,1.071022325049853e-05,4.023351721116342e-06,5.662454441335285e-06,0.04778454825282097,0.0,0.26065540313720703,1126.9500732421875,860.1431274414062,0.0,3.25693836202845e-05,4.158647060394287,3.25693836202845e-05,281.09490966796875,0.005999054294079542,97948.890625,229.185791015625,276.6551513671875,0,0.0,0.0,0.0,0.0,123,1964,18
2,1964-05-03,0,-122.625,38.375,1964-05-03,264.4130859375,-85.24451446533203,47.7070426940918,118.97466278076172,12.47243595123291,1.9341998267918825e-05,0.0,0.0,0.0,285.38433837890625,285.38433837890625,0.0,0.0,5.500443458557129,268.2479248046875,1127.40869140625,2.581469971119077e-07,9.88334522844525e-06,9.200506610795856e-06,0.0023216325789690018,0.0,0.2736285328865051,1127.4111328125,859.160888671875,0.0,0.0,4.5307698249816895,0.0,285.0856018066406,0.0072952378541231155,98009.359375,294.67694091796875,287.2628479003906,0,0.0,0.0,0.0,0.0,124,1964,18
3,1964-05-04,0,-122.625,38.375,1964-05-04,271.88238525390625,-86.27857971191406,69.8309097290039,103.81796264648438,11.945651054382324,2.831174060702324e-05,0.0,0.0,0.0,287.3856506347656,287.3856506347656,0.0,0.0,5.459118366241455,267.2298583984375,1125.452880859375,4.528496688749328e-09,1.4840329640719574e-05,1.3466881682688836e-05,0.00041700166184455156,0.0,0.34868761897087097,1125.4534912109375,858.2232055664062,0.0,0.0,5.721066474914551,0.0,287.1564636230469,0.007828584872186184,98085.015625,303.0448303222656,296.9476623535156,0,0.0,0.0,0.0,0.0,125,1964,19
4,1964-05-05,0,-122.625,38.375,1964-05-05,272.2647705078125,-87.8674545288086,72.48419189453125,107.63623046875,4.279666900634766,2.9387463655439205e-05,0.0,0.0,0.0,287.4814453125,287.4814453125,0.0,0.0,5.422717094421387,265.6722412109375,1122.8568115234375,-2.281625333111492e-09,1.529145083623007e-05,1.4098298379394691e-05,0.0006026128539815545,0.0,0.2973485589027405,1122.8572998046875,857.1844482421875,0.0,0.0,4.842545509338379,0.0,287.20428466796875,0.007691806182265282,97708.859375,303.4635925292969,295.90826416015625,0,0.0,0.0,0.0,0.0,126,1964,19
5,1964-05-06,0,-122.625,38.375,1964-05-06,302.2904357910156,-111.43180084228516,86.45079040527344,91.2513656616211,13.145686149597168,3.504998312564567e-05,0.0,0.0,0.0,288.9375915527344,288.9375915527344,0.0,0.0,5.3829827308654785,264.1346130371094,1120.16796875,2.7324142948259578e-09,1.8591494153952226e-05,1.6455751392641105e-05,0.00030543701723217964,0.0,0.23969991505146027,1120.168212890625,856.0332641601562,0.0,0.0,4.002425670623779,0.0,288.68865966796875,0.008083482272922993,97839.046875,336.8338623046875,280.5030822753906,0,0.0,0.0,0.0,0.0,127,1964,19
6,1964-05-07,0,-122.625,38.375,1964-05-07,257.1908874511719,-82.67727661132812,46.94473648071289,144.59205627441406,-17.00383186340332,1.9032937416341156e-05,1.0057351573777851e-07,0.0,0.0,284.8673400878906,284.8673400878906,0.0,0.0,5.381248474121094,262.93414306640625,1117.7041015625,1.5384721336886287e-06,8.085934496193659e-06,9.408528057974763e-06,0.010749604552984238,0.0,0.3429259955883026,1117.7144775390625,854.7695922851562,0.0,4.000409262516769e-06,5.504860877990723,4.000409262516769e-06,284.5533447265625,0.007100900635123253,97861.78125,286.6624450683594,287.1543273925781,0,0.0,0.0,0.0,0.0,128,1964,19
7,1964-05-08,0,-122.625,38.375,1964-05-08,264.7283630371094,-81.04653930664062,49.78846740722656,130.02020263671875,3.8665876388549805,2.0185878383927047e-05,0.0,0.0,0.0,285.8133544921875,285.8133544921875,0.0,0.0,5.371453762054443,262.8802185058594,1116.3828125,1.220076129015979e-08,1.0112741620105226e-05,1.006093680189224e-05,0.0007724931929260492,0.0,0.305446594953537,1116.3836669921875,853.5026245117188,0.0,0.0,4.96507453918457,0.0,285.4634704589844,0.007414917927235365,98145.125,294.9527282714844,293.896728515625,0,0.0,0.0,0.0,0.0,129,1964,19
8,1964-05-09,0,-122.625,38.375,1964-05-09,273.04876708984375,-86.13758087158203,57.14853286743164,123.45647430419922,6.304415225982666,2.3169888663687743e-05,0.0,0.0,0.0,287.29327392578125,287.29327392578125,0.0,0.0,5.35577392578125,262.3005676269531,1114.542236328125,-4.48066167502148e-10,1.1985148375970311e-05,1.118519048759481e-05,0.0005663397023454309,0.0,0.2603524327278137,1114.542724609375,852.2416381835938,0.0,0.0,4.241388320922852,0.0,286.9423522949219,0.008063352666795254,98176.953125,304.1937255859375,296.6665344238281,0,0.0,0.0,0.0,0.0,130,1964,19
9,1964-05-10,0,-122.625,38.375,1964-05-10,272.3712158203125,-85.41573333740234,74.38953399658203,103.24263763427734,9.319395065307617,3.0159953894326463e-05,0.0,0.0,0.0,288.68267822265625,288.68267822265625,0.0,0.0,5.323507308959961,261.3059997558594,1112.25439453125,2.761534112494246e-09,1.4972793906053994e-05,1.5184401490841992e-05,0.0002978616685140878,0.0,0.29853174090385437,1112.2545166015625,850.9481811523438,0.0,0.0,4.913268089294434,0.0,288.4254150390625,0.0080679040402174,98452.6875,303.4538879394531,304.79229736328125,0,0.0,0.0,0.0,0.0,131,1964,19
